_id,ID,SCH_NAME,ADDRESS,CITY,POSTAL_CODE,MET_PANEL_ID,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,MUNICIPALITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,OBJECTID,geometry
514,514,Kennedy Public School,20 Elmfield Crescent,Scarborough,M1V 2Y6,E,332056,20,Elmfield Cres,20 Elmfield Cres,Scarborough,Kennedy Public School,115001,20051349,20,None,,None,7841,514,"{""coordinates"": [[-79.3081805175917, 43.8188359157905]], ""type"": ""MultiPoint""}"
515,515,Thistletown Collegiate Institute,20 Fordwich Crescent,Etobicoke,M9W 2T4,S,1001687,20,Fordwich Cres,20 Fordwich Cres,Etobicoke,Thistletown Collegiate Institute,115001,907494,20,None,,None,1624,515,"{""coordinates"": [[-79.5624526489507, 43.7277265566382]], ""type"": ""MultiPoint""}"
516,516,Clairlea Public School,25 Rosalind Crescent,Scarborough,M1L 2X1,E,6511806,25,Rosalind Cres,25 Rosalind Cres,Scarborough,Clairlea Public School,115001,6511804,25,None,,None,8824,516,"{""coordinates"": [[-79.2962358879462, 43.7164767633036]], ""type"": ""MultiPoint""}"
517,517,Firgrove Public School,270 Firgrove Crescent,North York,M3N 1K8,E,3062806,270,Firgrove Cres,270 Firgrove Cres,North York,Firgrove Public School,115001,30092050,270,None,,None,5594,517,"{""coordinates"": [[-79.519910862165, 43.7520008914053]], ""type"": ""MultiPoint""}"
518,518,Indian Road Crescent Junior Public School,285 Indian Road Crescent,Toronto,M6P 2G8,E,824662,285,Indian Road Cres,285 Indian Road Cres,former Toronto,Indian Road Crescent Public School,115001,1143611,285,None,,None,3724,518,"{""coordinates"": [[-79.4600779001397, 43.6625287329027]], ""type"": ""MultiPoint""}"
519,519,North Bendale Junior Public School,29 Aveline Crescent,Scarborough,M1H 2P4,E,303840,29,Aveline Cres,29 Aveline Cres,Scarborough,North Bendale Junior Public School,115001,108255,29,None,,None,7259,519,"{""coordinates"": [[-79.2478021030816, 43.7705721088236]], ""type"": ""MultiPoint""}"
520,520,Anson Park Public School,30 MacDuff Crescent,Scarborough,M1M 1X5,E,358063,30,Macduff Cres,30 Macduff Cres,Scarborough,Anson Park Public School,115001,111602,30,None,,None,8385,520,"{""coordinates"": [[-79.2411154201694, 43.7261289165667]], ""type"": ""MultiPoint""}"
521,521,SATEC @ WA Porter Collegiate Institute,40 Fairfax Crescent,Scarborough,M1L 1Z9,S,2375151,40,Fairfax Cres,40 Fairfax Cres,Scarborough,W.A. Porter Collegiate Institute,115001,30059892,40,None,,None,7865,521,"{""coordinates"": [[-79.2872695164287, 43.7165934572119]], ""type"": ""MultiPoint""}"
522,522,Blacksmith Public School,45 Blacksmith Crescent,North York,M3N 1V5,E,490154,45,Blacksmith Cres,45 Blacksmith Cres,North York,Blacksmith Elementary School - Building Grounds,115001,30092674,45,None,,None,4965,522,"{""coordinates"": [[-79.5268106869839, 43.7711639591637]], ""type"": ""MultiPoint""}"
523,523,Lambton Park Community School,50 Bernice Crescent,York,M6N 1W9,E,52404,50,Bernice Cres,50 Bernice Cres,York,Lambton Park Community School,115001,9328,50,None,,None,445,523,"{""coordinates"": [[-79.4983074871366, 43.6675759817237]], ""type"": ""MultiPoint""}"
524,524,Glamorgan Junior Public School,51 Antrim Crescent,Scarborough,M1P 4N4,E,302317,51,Antrim Cres,51 Antrim Cres,Scarborough,Glamorgan Junior Public School,115001,107996,51,None,,None,7216,524,"{""coordinates"": [[-79.2895538318113, 43.7713003109162]], ""type"": ""MultiPoint""}"
525,525,Ranchdale Public School,60 Ranchdale Crescent,North York,M3A 2M3,E,554092,60,Ranchdale Cres,60 Ranchdale Cres,North York,Ranchdale Public School,115001,440998,60,None,,None,6499,525,"{""coordinates"": [[-79.3232914375889, 43.7524580000985]], ""type"": ""MultiPoint""}"
526,526,St George's Junior School,70 Princess Anne Crescent,Etobicoke,M9A 2P7,E,1024923,70,Princess Anne Cres,70 Princess Anne Cres,Etobicoke,St. Georges Junior Public School,115001,909875,70,None,,None,2300,526,"{""coordinates"": [[-79.5417121934287, 43.6726005054962]], ""type"": ""MultiPoint""}"
527,527,Sir Wilfrid Laurier Collegiate Institute,145 Guildwood Parkway,Scarborough,M1E 1P5,S,341419,145,Guildwood Pkwy,145 Guildwood Pkwy,Scarborough,Sir Wilfrid Laurier Collegiate Institute,115001,110088,145,None,,None,8047,527,"{""coordinates"": [[-79.1969914784391, 43.7470335031665]], ""type"": ""MultiPoint""}"
528,528,Joyce Public School,26 Joyce Parkway,North York,M6B 2S9,E,532121,26,Joyce Pkwy,26 Joyce Pkwy,North York,"Joyce Public School, Delo Park",115001,446122,26,None,,None,5927,528,"{""coordinates"": [[-79.4637574882499, 43.7097753946106]], ""type"": ""MultiPoint""}"
529,529,Jack Miner Senior Public School,405 Guildwood Parkway,West Hill,M1E 1R3,E,341468,405,Guildwood Pkwy,405 Guildwood Pkwy,Scarborough,Jack Miner Senior Public School,115001,109865,405,None,,None,8047,529,"{""coordinates"": [[-79.186968339472, 43.749688633648]], ""type"": ""MultiPoint""}"
530,530,Albert Campbell Collegiate Institute,1550 Sandhurst Circle,Agincourt,M1V 1S6,S,7531001,1550,Sandhurst Crcl,1550 Sandhurst Crcl,Scarborough,Albert Campbell Collegiate Institute,115001,7531000,1550,None,,None,8871,530,"{""coordinates"": [[-79.272424472942, 43.8092625383141]], ""type"": ""MultiPoint""}"
531,531,L'Amoreaux Collegiate Institute,2501 Bridletowne Circle,Agincourt,M1W 2K1,S,312017,2501,Bridletowne Crcl,2501 Bridletowne Crcl,Scarborough,Lamoreaux Collegiate Institute,115001,104968,2501,None,,None,7426,531,"{""coordinates"": [[-79.3180737471701, 43.80291776814]], ""type"": ""MultiPoint""}"
532,532,Park Lane Public School,60 Park Lane Circle,North York,M3C 2N2,E,7684096,60,Park Lane Crcl,60 Park Lane Crcl,North York,Park Lane Public School,115001,7683816,60,None,,None,6377,532,"{""coordinates"": [[-79.3668200605055, 43.7289236202676]], ""type"": ""MultiPoint""}"
533,533,The Waterfront School,635 Queens Quay West,Toronto,M5V 3G3,E,20056424,635,Queens Quay W,635 Queens Quay W,former Toronto,Waterfront School,115001,14130691,635,None,,None,4244,533,"{""coordinates"": [[-79.3971875912132, 43.6357488157646]], ""type"": ""MultiPoint""}"
534,534,City School,635 Queens Quay West,Toronto,M5V 3G3,S,20056424,635,Queens Quay W,635 Queens Quay W,former Toronto,Waterfront School,115001,14130691,635,None,,None,4244,534,"{""coordinates"": [[-79.3971875912132, 43.6357488157646]], ""type"": ""MultiPoint""}"
535,535,Bayview Middle School,25 Bunty Lane,North York,M2K 1W4,E,7963754,25,Bunty Lane,25 Bunty Lane,North York,Bayview Middle School,115001,7963734,25,None,,None,5064,535,"{""coordinates"": [[-79.3852946788356, 43.7762622265316]], ""type"": ""MultiPoint""}"
536,536,Don Mills Collegiate Institute,15 The Donway East,North York,M3C 1X6,S,568398,15,The Donway E,15 The Donway E,North York,Don Mills Collegiate Institute,115001,443123,15,None,,None,6881,536,"{""coordinates"": [[-79.339277147401, 43.7359592881657]], ""type"": ""MultiPoint""}"
537,537,Don Mills Middle School,17 The Donway East,North York,M3C 1X6,E,568400,17,The Donway E,17 The Donway E,North York,Don Mills Middle School - Building Grounds,115001,443123,17,None,,None,6881,537,"{""coordinates"": [[-79.3397470950251, 43.7363797020937]], ""type"": ""MultiPoint""}"
538,538,Market Lane Junior and Senior Public School,246 The Esplanade,Toronto,M5A 4J6,E,8354441,246,The Esplanade,246 The Esplanade,former Toronto,Market Lane Ps Jr. & Sr.,115001,8354438,246,None,,None,4541,538,"{""coordinates"": [[-79.3647413959783, 43.6498503802646]], ""type"": ""MultiPoint""}"
539,539,Yorkwoods Public School,25 Yorkwoods Gate,North York,M3N 1K1,E,10258462,25,Yorkwoods Gt,25 Yorkwoods Gt,North York,Yorkwoods Public School - Building Grounds,115001,30102680,25,None,,None,7152,539,"{""coordinates"": [[-79.5138847463308, 43.7506598381465]], ""type"": ""MultiPoint""}"
540,540,Dr Marion Hilliard Senior Public School,280 Washburn Way,Agincourt,M1B 2P3,E,11048083,280,Washburn Way,280 Washburn Way,Scarborough,Dr Marion Hilliard Senior Public School,115001,11048082,280,None,,None,9193,540,"{""coordinates"": [[-79.2248218322885, 43.8036860800068]], ""type"": ""MultiPoint""}"
541,541,Dixon Grove Junior Middle School,315 The Westway,Etobicoke,M9R 1H1,E,1037664,315,The Westway,315 The Westway,Etobicoke,Dixon Grove Junior Middle School,115001,909200,315,None,,None,2606,541,"{""coordinates"": [[-79.5559776877569, 43.6850065948201]], ""type"": ""MultiPoint""}"
542,542,Highland Heights Junior Public School,35 Glendower Circuit,Agincourt,M1T 2Z3,E,4812502,35,Glendower Crct,35 Glendower Crct,Scarborough,Highland Heights Public School,115001,4812493,35,None,,None,11111,542,"{""coordinates"": [[-79.3002623454523, 43.7944199052402]], ""type"": ""MultiPoint""}"
543,543,Kipling Collegiate Institute,380 The Westway,Etobicoke,M9R 1H4,S,1037710,380,The Westway,380 The Westway,Etobicoke,Kipling Collegiate Institute,115001,909272,380,None,,None,2606,543,"{""coordinates"": [[-79.5623537178777, 43.685288122965]], ""type"": ""MultiPoint""}"
544,544,Crescent Town Elementary School,4 Massey Square,East York,M4C 5M9,E,4202208,4,Massey Sq,4 Massey Sq,East York,Crescent Town Elementary School,115001,4153333,4,None,,None,11100,544,"{""coordinates"": [[-79.2924665101008, 43.6968367454986]], ""type"": ""MultiPoint""}"
545,545,Lawrence Heights Middle School,50 Highland Hill,North York,M6A 2R1,E,10379215,50,Highland Hill,50 Highland Hill,North York,Lawrence Heights Middle School,115001,10379214,50,None,,None,5833,545,"{""coordinates"": [[-79.4510772508882, 43.7208322543823]], ""type"": ""MultiPoint""}"
546,546,Cornell Junior Public School,61 Holmfirth Terrace,Scarborough,M1G 1G8,E,344918,61,Holmfirth Ter,61 Holmfirth Ter,Scarborough,Cornell Junior Public School - Building Grounds,115001,109132,61,None,,None,8123,546,"{""coordinates"": [[-79.2180382189696, 43.7593925779675]], ""type"": ""MultiPoint""}"
547,547,Poplar Road Junior Public School,66 Dearham Wood,West Hill,M1E 1S4,E,326920,66,Dearham Wood,66 Dearham Wood,Scarborough,Poplar Road Junior Public School,115001,109624,66,None,,None,7725,547,"{""coordinates"": [[-79.1872408418527, 43.7537306281654]], ""type"": ""MultiPoint""}"
548,548,Givins/Shaw Junior Public School,49 Givins Street,Toronto,M6J 2X5,E,11180397,49,Givins St,49 Givins St,former Toronto,Givins/Shaw Public School,115001,11180398,49,None,,None,3505,548,"{""coordinates"": [[-79.4175842923766, 43.6464076573477]], ""type"": ""MultiPoint""}"
549,549,Island Public/Natural Science School,30 Centre Island Park,Toronto,M5J 2E9,E,14258202,30,Centre Island Pk,30 Centre Island Pk,former Toronto,None,115001,1147832,30,None,,None,17507,549,"{""coordinates"": [[-79.3783881351182, 43.6157002778621]], ""type"": ""MultiPoint""}"
550,550,SEED Alternative School,885 Dundas Street East,Toronto,M4M 1R4,S,7576864,885,Dundas St E,885 Dundas St E,former Toronto,None,115001,14047336,885,None,,None,3334,550,"{""coordinates"": [[-79.3503749917097, 43.6622721119517]], ""type"": ""MultiPoint""}"
551,551,Native Learning Centre,83 Alexander Street,Toronto,M4Y 1B7,S,762114,83,Alexander St,83 Alexander St,former Toronto,Church Street Public School,115001,14023586,83,None,,None,9761,551,"{""coordinates"": [[-79.3791781653545, 43.6636084257427]], ""type"": ""MultiPoint""}"
552,552,Avondale Public School,171 Avondale Ave,North York,M2N 2V4,E,485329,171,Avondale Ave,171 Avondale Ave,North York,Avondale Alternative School,115001,439906,171,None,,None,4853,552,"{""coordinates"": [[-79.4000020943236, 43.7596784143197]], ""type"": ""MultiPoint""}"
553,553,Burnhamthorpe Collegiate Institute,500 The East Mall,Etobicoke,M9B 2C4,S,6765660,500,The East Mall,500 The East Mall,Etobicoke,Burnhamthorpe Collegiate Institute,115001,6765661,500,None,,None,2597,553,"{""coordinates"": [[-79.5616948758766, 43.6491679256634]], ""type"": ""MultiPoint""}"
554,554,CALC Secondary School,1 Danforth Avenue,Toronto,M4K 1M8,S,3841913,1,Danforth Ave,1 Danforth Ave,former Toronto,City Adult Learning Centre (Calc),115001,3841911,1,None,,None,86,554,"{""coordinates"": [[-79.3600575652384, 43.674910857793]], ""type"": ""MultiPoint""}"
555,555,Scarborough Centre for Alternative Studies,720 Midland Avenue,Scarborough,M1K 4C9,S,363296,720,Midland Ave,720 Midland Ave,Scarborough,Midland Ave Collegiate Institute,115001,111524,720,None,,None,8496,555,"{""coordinates"": [[-79.2565866863318, 43.7283605174473]], ""type"": ""MultiPoint""}"
556,556,Caring and Safe School LC4,540 Jones Ave,Toronto,M4J3G9,S,8822790,540,Jones Ave,540 Jones Ave,former Toronto,Jones Avenue Adult New Canadian,115001,8822783,540,None,,None,3752,556,"{""coordinates"": [[-79.3395605756216, 43.6772533084015]], ""type"": ""MultiPoint""}"
557,557,Caring and Safe School LC2,1641 Pharmacy Avenue,Scarborough,M1R 2L2,S,373500,1641,Pharmacy Ave,1641 Pharmacy Ave,Scarborough,None,115001,108595,1641,None,,None,8691,557,"{""coordinates"": [[-79.313002607885, 43.7673772800379]], ""type"": ""MultiPoint""}"
558,558,North West Year Round Alternative Centre,425 Patricia Avenue,North York,M2R 2N1,S,30055925,425,Patricia Ave,425 Patricia Ave,North York,None,115001,7156908,425,None,,None,6386,558,"{""coordinates"": [[-79.4411616324684, 43.784556440757]], ""type"": ""MultiPoint""}"
559,559,Yorkdale Secondary School,38 Orfus Road,North York,M6A 1L6,S,12789760,38,Orfus Rd,38 Orfus Rd,North York,Yorkdale Secondary School,115001,12789755,38,None,,None,6342,559,"{""coordinates"": [[-79.4597250980034, 43.7201620650265]], ""type"": ""MultiPoint""}"
560,560,Thomas L Wells Public School,69 Nightstar Road,Scarborough,M1X 1V6,E,14310229,69,Nightstar Rd,69 Nightstar Rd,Scarborough,Thomas L Wells Public School,115001,14310896,69,None,,None,18022,560,"{""coordinates"": [[-79.2261254163676, 43.8242998088678]], ""type"": ""MultiPoint""}"
561,561,Etobicoke Year Round Alternative Centre,160 Silverhill Drive,Etobicoke,M9B 3W7,S,9109922,160,Silverhill Dr,160 Silverhill Dr,Etobicoke,None,115001,9109918,160,None,,None,2484,561,"{""coordinates"": [[-79.551276113705, 43.6338578460427]], ""type"": ""MultiPoint""}"
562,562,South East Year Round Alternative Centre,720 Midland Avenue,Scarborough,M1K 4C9,S,363296,720,Midland Ave,720 Midland Ave,Scarborough,Midland Ave Collegiate Institute,115001,111524,720,None,,None,8496,562,"{""coordinates"": [[-79.2565866863318, 43.7283605174473]], ""type"": ""MultiPoint""}"
563,563,North East Year Round Alternative Centre,2900 Don Mills Road,North York,M2J 3B6,S,9950376,2900,Don Mills Rd E,2900 Don Mills Rd E,North York,Woodbine Junior High School,115001,9950377,2900,None,,None,5398,563,"{""coordinates"": [[-79.349385410988, 43.7824288154923]], ""type"": ""MultiPoint""}"
564,564,Brookside Public School,75 Oasis Blvd,Scarborough,M1X 0A3,E,14248664,75,Oasis Blvd,75 Oasis Blvd,Scarborough,Brookside Public School,115001,14248995,75,None,,None,16908,564,"{""coordinates"": [[-79.2338532994675, 43.8303652064155]], ""type"": ""MultiPoint""}"
565,565,ALPHA II Alternative School,1141 Bloor Street West,Toronto,M6H 1M9,ES,6710176,1141,Bloor St W,1141 Bloor St W,former Toronto,Bloor Collegiate Institute,115001,6710177,1141,None,,None,458,565,"{""coordinates"": [[-79.4367968963581, 43.65924610796]], ""type"": ""MultiPoint""}"
566,566,Karen Kain School of the Arts,60 Berl Avenue,Etobicoke,M8Y 3C7,E,987291,60,Berl Ave,60 Berl Ave,Etobicoke,None,115001,912871,60,None,,None,1156,566,"{""coordinates"": [[-79.5001456127783, 43.6310527117539]], ""type"": ""MultiPoint""}"
567,567,Africentric Alternative School,1430 Sheppard Avenue West,North York,M3M 2W9,E,10133016,1430,Sheppard Ave W,1430 Sheppard Ave W,North York,Sheppard Public School,115001,10133008,1430,None,,None,6699,567,"{""coordinates"": [[-79.4882606578029, 43.7454243556118]], ""type"": ""MultiPoint""}"
568,568,da Vinci School,33 Robert Street,Toronto,M5S 2K2,E,8105948,33,Robert St,33 Robert St,former Toronto,None,115001,14022601,33,None,,None,844,568,"{""coordinates"": [[-79.401909850979, 43.6589530395299]], ""type"": ""MultiPoint""}"
569,569,The Grove Community School,108 Gladstone Avenue,Toronto,M6J 3L2,E,10527839,108,Gladstone Ave,108 Gladstone Ave,former Toronto,Alexander Muir/Gladstone Ave Junior and Senior Public School,115001,10527836,108,None,,None,3506,569,"{""coordinates"": [[-79.4288472631571, 43.6460212506421]], ""type"": ""MultiPoint""}"
570,570,Equinox Holistic Alternative School,151 Hiawatha Road,Toronto,M4L 2Y1,E,820061,151,Hiawatha Rd,151 Hiawatha Rd,former Toronto,Roden Junior Public School,115001,14022212,151,None,,None,3656,570,"{""coordinates"": [[-79.3230764862029, 43.6738732738778]], ""type"": ""MultiPoint""}"
571,571,Caring and Safe School LC3,720 Midland Avenue,Scarborough,M1K 4C9,S,363296,720,Midland Ave,720 Midland Ave,Scarborough,Midland Ave Collegiate Institute,115001,111524,720,None,,None,8496,571,"{""coordinates"": [[-79.2565866863318, 43.7283605174473]], ""type"": ""MultiPoint""}"
572,572,Parkview Alternative School,1641 Pharmacy Avenue,Scarborough,M1R 2L2,S,373500,1641,Pharmacy Ave,1641 Pharmacy Ave,Scarborough,None,115001,108595,1641,None,,None,8691,572,"{""coordinates"": [[-79.313002607885, 43.7673772800379]], ""type"": ""MultiPoint""}"
573,573,Boys Leadership Academy,45 Golfdown Drive,Etobicoke,M9W 2H8,E,1003702,45,Golfdown Dr,45 Golfdown Dr,Etobicoke,The Elms Junior Middle School,115001,907618,45,None,,None,1690,573,"{""coordinates"": [[-79.5521137885613, 43.722227297768]], ""type"": ""MultiPoint""}"
574,574,Jean Augustine Girls' Leadership Academy,35 Glendower Circuit,Agincourt,M1T 2Z3,E,4812502,35,Glendower Crct,35 Glendower Crct,Scarborough,Highland Heights Public School,115001,4812493,35,None,,None,11111,574,"{""coordinates"": [[-79.3002623454523, 43.7944199052402]], ""type"": ""MultiPoint""}"
575,575,Ben Heppner Vocal Music Academy,80 Slan Avenue,Scarborough,M1G 3B5,E,386802,80,Slan Ave,80 Slan Ave,Scarborough,Heather Heights Junior Public School,115001,107600,80,None,,None,8966,575,"{""coordinates"": [[-79.2150687264433, 43.7751558784252]], ""type"": ""MultiPoint""}"
576,576,Downtown Vocal Music Academy of Toronto,96 Denison Avenue,Toronto,M5T 1E4,E,10560819,96,Denison Ave,96 Denison Ave,former Toronto,Ryerson Community School Jr. & Sr.,115001,10560820,96,None,,None,3287,576,"{""coordinates"": [[-79.4023797268448, 43.6512817054496]], ""type"": ""MultiPoint""}"
577,577,Native Learning Centre East,145 Guildwood Parkway,Scarborough,M1E 1P5,S,341419,145,Guildwood Pkwy,145 Guildwood Pkwy,Scarborough,Sir Wilfrid Laurier Collegiate Institute,115001,110088,145,None,,None,8047,577,"{""coordinates"": [[-79.1969914784391, 43.7470335031665]], ""type"": ""MultiPoint""}"
578,578,Fraser Mustard Early Learning Academy,82 Thorncliffe Park Drive,Toronto,M4H 0A2,E,30026375,82,Thorncliffe Park Dr,82 Thorncliffe Park Dr,East York,None,115001,3829449,82,None,,None,354,578,"{""coordinates"": [[-79.3435512383368, 43.7055777504935]], ""type"": ""MultiPoint""}"
579,579,Caring and Safe School LC1,30 Barrhead Crescent,Etobicoke,M9W 3Z7,S,986007,30,Barrhead Cres,30 Barrhead Cres,Etobicoke,Mississauga Private School,115001,907839,30,None,,None,1110,579,"{""coordinates"": [[-79.5665521913805, 43.7193132274678]], ""type"": ""MultiPoint""}"
580,580,Emery EdVance Secondary,3395 Weston Road,North York,M9M 2V9,S,574355,3395,Weston Rd,3395 Weston Rd,North York,Emery Collegiate Institute,115001,30117738,3395,None,,None,952,580,"{""coordinates"": [[-79.5395569845548, 43.7487227091093]], ""type"": ""MultiPoint""}"
581,581,Oasis Alternative SS (Skateboard Factory) (Scadding Court),707 Dundas Street West,Toronto,M5T2W6,S,796653,707,Dundas St W,707 Dundas St W,former Toronto,Scadding Court Community Centre,115001,1145100,707,None,,None,558,581,"{""coordinates"": [[-79.404893894284, 43.6517857045587]], ""type"": ""MultiPoint""}"
582,582,Oasis Triangle Program,115 Simpson Avenue,Toronto,M4K1A1,S,868553,115,Simpson Ave,115 Simpson Ave,former Toronto,Metropolitan Community Church,115001,14023169,115,None,,None,9784,582,"{""coordinates"": [[-79.3478625108852, 43.6669210199121]], ""type"": ""MultiPoint""}"
583,583,Norseman Junior Middle School- Castlebar,70 Chartwell Road,Etobicoke,M8Z 4G6,E,992851,70,Chartwell Rd,70 Chartwell Rd,Etobicoke,None,115001,912905,70,None,,None,1336,583,"{""coordinates"": [[-79.5137942125371, 43.6305564879895]], ""type"": ""MultiPoint""}"
584,584,Davisville Junior Public School,529 Vaughan Road,York,M6C2R1,E,75474,529,Vaughan Rd,529 Vaughan Rd,York,Vaughan Road Academy,115001,8128,529,None,,None,930,584,"{""coordinates"": [[-79.436702828382, 43.6910217034241]], ""type"": ""MultiPoint""}"
585,585,Spectrum Alternative Senior School,529 Vaughan Road,York,M6C2R1,E,75474,529,Vaughan Rd,529 Vaughan Rd,York,Vaughan Road Academy,115001,8128,529,None,,None,930,585,"{""coordinates"": [[-79.436702828382, 43.6910217034241]], ""type"": ""MultiPoint""}"
