_id,ID,SCH_NAME,ADDRESS,CITY,POSTAL_CODE,MET_PANEL_ID,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,MUNICIPALITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,OBJECTID,geometry
448,448,Sir Samuel B Steele Junior Public School,131 Huntsmill Boulevard,Agincourt,M1W 2Y2,E,6261352,131,Huntsmill Blvd,131 Huntsmill Blvd,Scarborough,Sir Samuel B Steele Junior Public School,115001,6261355,131,None,,None,8151,448,"{""coordinates"": [[-79.3275418257916, 43.8070663083017]], ""type"": ""MultiPoint""}"
449,449,Marc Garneau Collegiate Institute,135 Overlea Boulevard,East York,M3C 1B3,S,10750672,135,Overlea Blvd,135 Overlea Blvd,North York,Marc Garneau Collegiate Institute,115001,10750670,135,None,,None,278,449,"{""coordinates"": [[-79.3349679464078, 43.7089756853719]], ""type"": ""MultiPoint""}"
450,450,Macklin Public School,136 Ingleton Boulevard,Scarborough,M1V 2Y4,E,347260,136,Ingleton Blvd,136 Ingleton Blvd,Scarborough,Macklin Public School,115001,30058455,136,None,,None,8163,450,"{""coordinates"": [[-79.2674700420568, 43.821788456337]], ""type"": ""MultiPoint""}"
451,451,Summit Heights Public School,139 Armour Boulevard,North York,M3H 1M1,E,484181,139,Armour Blvd,139 Armour Blvd,North York,Summit Heights Public School,115001,442284,139,None,,None,4827,451,"{""coordinates"": [[-79.4300369383682, 43.7413217746515]], ""type"": ""MultiPoint""}"
452,452,Sir Ernest MacMillan Senior Public School,149 Huntsmill Boulevard,Scarborough,M1W 2Y2,E,346660,149,Huntsmill Blvd,149 Huntsmill Blvd,Scarborough,Sir Ernest Macmillan Public School,115001,104516,149,None,,None,8151,452,"{""coordinates"": [[-79.3286382346771, 43.8066383253939]], ""type"": ""MultiPoint""}"
453,453,Ernest Public School,150 Cherokee Boulevard,North York,M2J 4A4,E,498502,150,Cherokee Blvd,150 Cherokee Blvd,North York,Ernest Public School,115001,436907,150,None,,None,5182,453,"{""coordinates"": [[-79.3373825688455, 43.791415465113]], ""type"": ""MultiPoint""}"
454,454,Brimwood Boulevard Junior Public School,151 Brimwood Boulevard,Agincourt,M1V 1E5,E,313306,151,Brimwood Blvd,151 Brimwood Blvd,Scarborough,Brimwood Boulevard Junior Public School,115001,103922,151,None,,None,7438,454,"{""coordinates"": [[-79.2740896574429, 43.8116998848004]], ""type"": ""MultiPoint""}"
455,455,Burrows Hall Junior Public School,151 Burrows Hall Boulevard,Agincourt,M1B 1M5,E,314663,151,Burrows Hall Blvd,151 Burrows Hall Blvd,Scarborough,Burrows Hall Junior Public School,115001,30063088,151,None,,None,7479,455,"{""coordinates"": [[-79.2288180080604, 43.792697960518]], ""type"": ""MultiPoint""}"
456,456,Timberbank Junior Public School,170 Timberbank Boulevard,Agincourt,M1W 2A3,E,391661,170,Timberbank Blvd,170 Timberbank Blvd,Scarborough,Timberbank Junior Public School,115001,106097,170,None,,None,9087,456,"{""coordinates"": [[-79.307285388876, 43.7914712561725]], ""type"": ""MultiPoint""}"
457,457,Chief Dan George Public School,185 Generation Boulevard,Scarborough,M1B 2K5,E,337172,185,Generation Blvd,185 Generation Blvd,Scarborough,Chief Dan George Public School,115001,104636,185,None,,None,7965,457,"{""coordinates"": [[-79.1638346582217, 43.8027223090495]], ""type"": ""MultiPoint""}"
458,458,Terry Fox Public School,185 Wintermute Boulevard,Agincourt,M1W 3M9,E,399160,185,Wintermute Blvd,185 Wintermute Blvd,Scarborough,Terry Fox Public School,115001,20050681,185,None,,None,9249,458,"{""coordinates"": [[-79.3186862950221, 43.8158993563047]], ""type"": ""MultiPoint""}"
459,459,Gracedale Public School,186 Gracedale Boulevard,North York,M9L 2C1,E,10494308,186,Gracedale Blvd,186 Gracedale Blvd,North York,Gracedale Park,115001,10494275,186,None,,None,5728,459,"{""coordinates"": [[-79.5618421120233, 43.753197538015]], ""type"": ""MultiPoint""}"
460,460,George Webster Elementary School,50 Chapman Ave,East York,M4B1C5,E,30091787,50,Chapman Ave,50 Chapman Ave,East York,George E. Webster Public School,115001,7776717,50,None,,None,59,460,"{""coordinates"": [[-79.299760623825, 43.7010488988453]], ""type"": ""MultiPoint""}"
461,461,Anson S Taylor Junior Public School,20 Placentia Boulevard,Agincourt,M1S 4C5,E,374465,20,Placentia Blvd,20 Placentia Blvd,Scarborough,Anson S Taylor Junior Public School,115001,104662,20,None,,None,8711,461,"{""coordinates"": [[-79.2615613356444, 43.8042919764275]], ""type"": ""MultiPoint""}"
462,462,Danforth Gardens Public School,20 Santamonica Boulevard,Scarborough,M1L 4H4,E,2370028,20,Santamonica Blvd,20 Santamonica Blvd,Scarborough,Danforth Gardens Public School,115001,2370032,20,None,,None,8879,462,"{""coordinates"": [[-79.270927399778, 43.7087670630065]], ""type"": ""MultiPoint""}"
463,463,Dr Norman Bethune Collegiate Institute,200 Fundy Bay Boulevard,Agincourt,M1W 3G1,S,3070250,200,Fundy Bay Blvd,200 Fundy Bay Blvd,Scarborough,Overcomers Christian Fellowship Church,115001,3065529,200,None,,None,7938,463,"{""coordinates"": [[-79.3194284089425, 43.8121621401057]], ""type"": ""MultiPoint""}"
464,464,Chester Le Junior Public School,201 Chester Le Boulevard,Agincourt,M1W 2K7,E,6242276,201,Chester Le Blvd,201 Chester Le Blvd,Scarborough,Chester Le Junior Elementary School - Building Grounds,115001,6242279,201,None,,None,7576,464,"{""coordinates"": [[-79.3310953374039, 43.7985877098575]], ""type"": ""MultiPoint""}"
465,465,Tam O'Shanter Junior Public School,21 King Henrys Boulevard,Agincourt,M1T 2V3,E,351647,21,King Henry's Blvd,21 King Henry's Blvd,Scarborough,Tam O'Shanter Junior Public School,115001,106768,21,None,,None,8255,465,"{""coordinates"": [[-79.2976616870896, 43.7850716358588]], ""type"": ""MultiPoint""}"
466,466,Silver Springs Public School,222 Silver Springs Boulevard,Agincourt,M1V 1S4,E,386342,222,Silver Springs Blvd,222 Silver Springs Blvd,Scarborough,Silver Springs Public School,115001,14669334,222,None,,None,8952,466,"{""coordinates"": [[-79.3023769660098, 43.8044295089524]], ""type"": ""MultiPoint""}"
